year,domain,title,representation,realism,scale,url,author
2025,Power,Electricity Transmission Lines | Digital Atlas of Australia,Tabular,Real,Large-Benchmark,https://digital.atlas.gov.au/datasets/digitalatlas::electricity-transmission-lines/about,Digital Atlas of Australia
2025,Power,e2nIEE/simbench: Electrical Power System Benchmark Dataset directly usable with pandapower (use the project website for Executable tools),Tabular,Real,Large-Benchmark,https://github.com/e2nIEE/simbench,Simon Drauz and Annika Klettke and Dzanan Sarajlic and Julian Sprey and Christian Spalthoff and Chris Kittl
2025,Power,Dynamic Power Distribution Network Dataset,Tabular,Synthetic,Small/Single-domain,https://www.kaggle.com/datasets/ziya07/dynamic-power-distribution-network-dataset,Ziya
2013,Power,Sudan - Electricity Transmission Network (2017),Vectorized,Real,Large-Benchmark,https://open.africa/dataset/sudan-electricity-transmission-network-2013,Christopher Arderne
2017,Power,Egypt - Electricity Transmission Network - Dataset - ENERGYDATA.INFO,Vectorized,Real,Large-Benchmark,https://energydata.info/dataset/egypt-electricity-transmission-network-2017,World Bank Group
2017,Power,Yemen - Electricity Transmission Network - Dataset - ENERGYDATA.INFO,Vectorized,Real,Large-Benchmark,https://energydata.info/dataset/yemen-electricity-transmission-network-2017,World Bank Group
2017,Power,Mauritania - Electricity Transmission Network (2017),Vectorized,Real,Large-Benchmark,https://open.africa/dataset/mauritania-electricity-transmission-network-2014,Christopher Arderne
2017,Power,Rwanda - Electricity Transmission Network (2007),Vectorized,Real,Large-Benchmark,https://open.africa/dataset/rwanda-electricity-transmission-network-2007,Christopher Arderne
2017,Power,Equatorial Guinea - Electricity Transmission Network (2014),Vectorized,Real,Large-Benchmark,https://open.africa/dataset/equatorial-guinea-electricity-transmission-network-2014,Christopher Arderne
2019,Power,BDTRE - Power Grid Node (ND_ELE),Vectorized,Real,Large-Benchmark,https://data.europa.eu/data/datasets/r_piemon-4f4a16f0-c63e-49a6-9334-0e49b22a29e6?locale=en,
2021,Power,ECOWAS Region - Existing and Planned Transmission Grid - Dataset - ENERGYDATA.INFO,Vectorized,Real,Large-Benchmark,https://energydata.info/dataset/transmission-grid-ecowas-region,World Bank Group
2021,Power,Electricity grid Africa,Vectorized,Real,Large-Benchmark,https://figshare.com/articles/dataset/Electricity_grid_Africa/14828862?file=28546659,Georgia Kakoulaki and Magda Moner-Girona
2021,Power,Colorado Electrical Transmission Grid,Vectorized,Real,Small/Single-domain,https://gdr.openei.org/submissions/301,Richard E. Zehner
2023,Power,Dominican Republic Electricity Transmission Network 2023 - Dataset - ENERGYDATA.INFO,Vectorized,Real,Large-Benchmark,https://energydata.info/dataset/dominican-republic-electricity-transmission-network-2023,NEO
2023,Power,Liberia electricity transmission network 2023 - Dataset - ENERGYDATA.INFO,Vectorized,Real,Large-Benchmark,https://energydata.info/dataset/liberia-electricity-transmission-network-2023,NEO
2024,Power,Azerbaijan - Electricity Transmission Network,Vectorized,Real,Large-Benchmark,https://energydata.info/dataset/azerbaijan-electricity-transmission-network-2009,World Bank Group
2024,Power,Cape Verde Electricity Transmission Network,Vectorized,Real,Large-Benchmark,https://energydata.info/dataset/cape-verde-electricity-transmission-network,World Bank Group
2025,Power,Derived map of global electricity transmission and distribution lines - Dataset - ENERGYDATA.INFO,Vectorized,Real,Large-Benchmark,https://energydata.info/dataset/derived-map-of-global-electricity-transmission-and-distribution-lines,World Bank Group
